Kinetic energy (J),Arbitrary start time (ms),Average dx/dt (m/s),S13 dx/dt (m/s),S15 dx/dt (m/s),S16 dx/dt (m/s),S17 dx/dt (m/s),S18 dx/dt (m/s),S19 dx/dt (m/s),S20 dx/dt (m/s),S21 dx/dt (m/s),S22 dx/dt (m/s),S23 dx/dt (m/s)
1.545476640688258,22.200000000000003,3.6159505642334473,3.540422894298948,3.601800185227159,3.595681725669135,3.6116155500631635,3.6613124146559897,3.6479604756776247,3.6021800327187172,3.607297327329672,3.663481037339588,3.6277539993544776
1.555035808813506,22.3,3.62711611473343,3.5524559595579723,3.6144604439669012,3.614307409526315,3.632516775424402,3.6623100914868103,3.6504596059932144,3.6098119866640554,3.627206687046795,3.6661685032906406,3.6414636843771957
1.563808665022994,22.400000000000002,3.637333054789398,3.5653016984234798,3.6263974406755426,3.6306533405796797,3.6510701924986595,3.6620694113911525,3.6526500788078327,3.6183832443088124,3.6445587223015625,3.6676814743417565,3.6545649445654975
1.5715241759424505,22.5,3.646294941655649,3.578882720491845,3.637363195073145,3.644086294507824,3.6664848143265174,3.660590797296558,3.6542441643768004,3.627750814370539,3.6586698346842557,3.6680842986656983,3.666792482763307
1.5779463764675348,22.6,3.6537378312242446,3.5930235898392877,3.647150907732854,3.6541934315583307,3.6782135892154963,3.657918458277331,3.654904710046944,3.6375159448822485,3.669085132854556,3.667493380016148,3.67787916781925
1.5829016103978657,22.700000000000003,3.6594702611441625,3.6074161259834336,3.6555828038477873,3.6607541387433087,3.686015056925222,3.6541950612813183,3.654344518271107,3.647117980200287,3.6756124118237574,3.6661059865405234,3.6875585278248844
1.5863051215097113,22.8,3.663402394284721,3.621653194040174,3.6625126700959156,3.663753150966508,3.690000991216956,3.6496710276292195,3.6523849671543847,3.6559160522646765,3.6783432794821422,3.6642034650587387,3.6955851449384984
1.588172410638553,22.900000000000002,3.665557912626243,3.6352192691906664,3.667768775468866,3.663395985579322,3.690585701641461,3.64469728418886,3.649023628269001,3.663290207491522,3.677651089640684,3.662126792120725,3.701820392671333
1.5886155729520022,23.0,3.666069294076132,3.647470721513068,3.6711879197126875,3.660086656166649,3.688444414773252,3.639681894526812,3.644445548520034,3.668766519393111,3.67412905882521,3.6602399567043533,3.7062402506261454
1.5878289870136344,23.1,3.665161574282583,3.6577016994271023,3.6726270053024512,3.6544180624188742,3.684439066494641,3.6350261354396123,3.638972279360824,3.6721202003864795,3.6685244654079354,3.6588687859289255,3.7089180426589863
1.5860611686923016,23.200000000000003,3.663120691954686,3.665247944025913,3.671966035525324,3.6471272765497904,3.6794816039779974,3.631050875934365,3.633005064637987,3.6733809871525493,3.661662833782097,3.658257464040739,3.7100268339201037
1.5835822983720107,23.3,3.6602570092420663,3.6695345327210673,3.6691719359389565,3.639050397661559,3.6744161669581756,3.627969239682794,3.6269465721641256,3.672805986192779,3.65438020906294,3.6585002139069664,3.7097948381313026
1.5806525628293333,23.400000000000002,3.6568695788884016,3.6701682049288222,3.6643431774358017,3.631033267856661,3.6699345779890193,3.6258575704885163,3.621132729100974,3.6708315359202373,3.647433798483812,3.6595213024400066,3.7084396242401674
1.5774917829433186,23.5,3.65321148722836,3.667019415137142,3.657701087627638,3.623868618326934,3.6665024904634804,3.6246381639459844,3.6157765263526573,3.667945998563377,3.6414333413403126,3.661067091299978,3.7061621392260937
1.5742662260733395,23.6,3.649474646467066,3.660234966135826,3.6495688425678825,3.6181997220772364,3.664327237345796,3.624139578330879,3.6109772380045904,3.6645994602831196,3.6368120551638965,3.6627529231349256,3.7031344416265104
1.57109087326844,23.700000000000003,3.6457922264273144,3.650244739657016,3.6403874880300107,3.614443611103194,3.663376806110085,3.6241256434520337,3.6067675111767694,3.661138459684602,3.6338078267442837,3.664128599293585,3.699501579021565
1.568029791909219,23.8,3.642238801183905,3.6377500283827073,3.63060797279321,3.612770621863216,3.6634266690485986,3.6243457942167754,3.6031258501269683,3.657753940008101,3.6324557865502265,3.6647489986129984,3.6954023502362436
1.565108266042911,23.900000000000002,3.6388441412006336,3.6236551060965314,3.62061416234991,3.6130752995136493,3.6641253717106195,3.6245770212893933,3.6000388225561544,3.6544981553213436,3.632590703939849,3.664258527672254,3.691008241556639
1.562329428652583,24.0,3.6356123365065436,3.6089569505542265,3.6107237954211193,3.615018854771289,3.6650694180621115,3.624625387180744,3.5975401200470394,3.65133159117182,3.6338949967062133,3.6624511786310534,3.6865110725198145
1.5596855093275734,24.1,3.6325347730696045,3.594686241908573,3.601156550802113,3.618086951123417,3.6658813268063652,3.6243409330551333,3.595673239274117,3.6481705938949216,3.635909473696766,3.6593251978836268,3.6821172222510166
1.557157766846873,24.200000000000003,3.6295900012790305,3.5817670004153648,3.592005148240571,3.6216694120536306,3.666244996689278,3.6236184288980087,3.594477863992834,3.6449525543877233,3.6380919570887142,3.655071147157864,3.6780015038663203
1.5547282336239534,24.3,3.6267573879148394,3.5709221353083764,3.583319300196774,3.6251559608625814,3.6659595357962274,3.6224023855043117,3.5939707111088066,3.641667792029362,3.6398803059959763,3.6500357882509977,3.6742599640949805
1.5523964756515602,24.400000000000002,3.6240366893819007,3.5626713638975054,3.5751655760610066,3.628039309135043,3.6649585770253537,3.6206781113832096,3.5940955726049535,3.638402423417065,3.64075769339298,3.644677176682089,3.6709210902197986
1.5501759514497906,24.5,3.621443878514018,3.557287071614508,3.5676293681409676,3.629977376719931,3.663294412713648,3.618476931678639,3.594742362915792,3.635325847922,3.6403246088569956,3.6394716615994325,3.6679091429782686
1.5480961929022705,24.6,3.6190137489718985,3.5548202604620776,3.560891798807018,3.6308089621443873,3.6611135808697184,3.615883921714168,3.5957447771413737,3.6326470178947927,3.6383552507202337,3.63481989734215,3.6650520226230667
1.546202718400141,24.700000000000003,3.616799866238222,3.5551428841760577,3.5552463379706416,3.6305655222416915,3.6586122440301714,3.613010638408525,3.5968751351508086,3.630561677562592,3.634830597114738,3.630994824495029,3.662158801231962
1.544545696086257,24.8,3.6148613349779994,3.557949315201552,3.5510460064795217,3.629427753344781,3.6559910592113827,3.610001225261964,3.59792154594221,3.6291952964159107,3.629916522184944,3.628084165095915,3.659080460641812
1.5431725764465898,24.900000000000002,3.613254150166253,3.5628075245778184,3.548648231957081,3.62766131541765,3.653411718527659,3.6070337687424505,3.5987204533545416,3.628560770136356,3.623954692777612,3.6259930260120075,3.6557500001593484
1.54211939573098,25.0,3.6120209572142796,3.5692258594291504,3.5483353167710567,3.625566202185165,3.650972290146692,3.6042984820095505,3.5991532424820996,3.628551413107071,3.617414322402975,3.6244921292813035,3.6522003143277377
1.5413970143276803,25.1,3.611174861116635,3.5766307798040886,3.550246220526572,3.6234028304793937,3.648717155108338,3.6019773851005645,3.599177619482713,3.628985411047383,3.610796747837991,3.623259578540011,3.648554883239294
1.5409793109835235,25.200000000000003,3.6106855316298097,3.584413330108131,3.5543231392516765,3.621337531520122,3.6466071255027295,3.600214521439226,3.598810541347858,3.629621006223725,3.6045677874402706,3.6219677739079645,3.6449925595563943
1.5408050478660633,25.3,3.6104813669463143,3.5919855059039603,3.560281392922105,3.619447548259028,3.6445516213011704,3.5990975799460436,3.5980975152340413,3.6302242587861526,3.599091880171669,3.6203490335166757,3.6416873334222926
1.5407815324593013,25.400000000000002,3.6104538156795236,3.598783211734723,3.567693959722471,3.61769061886929,3.642467880036871,3.598634657977197,3.5970962447099843,3.6306027998795214,3.59456121156644,3.618242192077797,3.6387653802209483
1.5407927865511197,25.5,3.610467001294647,3.604316460760412,3.576036137582048,3.6159277446096314,3.6402653843599735,3.598751503561072,3.5958557904841766,3.630633978751699,3.5909769997788428,3.615616555122084,3.6362894579365372
1.5407195477494535,25.6,3.610381191761636,3.6081814599781517,3.5847368858735646,3.613989433718426,3.6379058640658384,3.5993207419732123,3.5944223538983917,3.630280694010084,3.588174275468998,3.612556614764809,3.6342435938648903
1.5404499952842696,25.700000000000003,3.610065355657338,3.610111904899156,3.5932177646781267,3.611715901148397,3.6354112491356454,3.6001798657035224,3.5928401527750657,3.62954734857784,3.585835953654066,3.609260982491275,3.6325324335102875
1.5398976644699134,25.8,3.6094181002743504,3.6100111827129346,3.600976260989807,3.6089980613040886,3.6328389481683514,3.601149887031635,3.5911714941038437,3.6284650028476433,3.5835717544345553,3.6059780601264597,3.631020351024186
1.53900132376208,25.900000000000002,3.6083674657480076,3.607890748909778,3.6076002506471805,3.605810189613236,3.6302917533076977,3.602092923849124,3.5894897891300954,3.6270416652506685,3.5809846921317896,3.602929057727703,3.6295435869128045
1.537729319481824,26.0,3.606875976567107,3.603879891157259,3.612744065112462,3.602214123750297,3.627889407678036,3.602925171431263,3.587900834038362,3.6252523164693105,3.5777194476769525,3.600310390439642,3.627924117917483
1.536086222080546,26.1,3.604948448604265,3.5981946192918137,3.6161755462130816,3.5983331134319876,3.6257486335033593,3.6036239191382826,3.586557259083531,3.6230460724685267,3.5735441884775243,3.5982478830117195,3.626013251422829
1.5341061793495936,26.200000000000003,3.6026242777376583,3.5911206533129962,3.6177296867105144,3.594314424156448,3.6239808272248992,3.604243518895884,3.5856202353390327,3.6203675503428587,3.5683670476287377,3.5967836034676672,3.623715230297545
1.5318505847217403,26.3,3.599974836255516,3.5830242834918065,3.6173188085034655,3.590293272340443,3.6226721394500703,3.604876474579907,3.5852442891762277,3.617213955077897,3.5622251737303774,3.595906148391816,3.6209738178131476
1.5293940615388133,26.400000000000002,3.5970871623617717,3.5743346637848505,3.6149589103847006,3.5863244818504514,3.621880309203117,3.605613945597849,3.5855349446591274,3.6136354949227893,3.555274061331955,3.5955418114348388,3.61777300044804
1.5268231452286047,26.5,3.5940625332105434,3.5655884407411187,3.61078619093281,3.582358510491201,3.621612104259849,3.606521743420682,3.586509458050284,3.6097557658228077,3.547745912790573,3.5955852675799047,3.6141619380162058
1.5242281894706737,26.6,3.5910070387295763,3.557405349433123,3.605035983220443,3.5782493182260966,3.62181157133126,3.607608589870676,3.5881015652482913,3.605792438832406,3.539882298238025,3.5959295820422863,3.6102536908531526
1.5217025670929658,26.700000000000003,3.5880306838994245,3.550475859158167,3.598088065056583,3.573760246479094,3.6223808885033018,3.608831302290525,3.5901540911781327,3.6020103618357204,3.531919575801125,3.5964751626965032,3.6062112859950837
1.519345128959776,26.8,3.5852502985916344,3.545516764445905,3.5904057870037716,3.568655499112663,3.6231651376140337,3.6101125774796508,3.5924682528785863,3.5986786024271957,3.5240946981228274,3.597131535129744,3.6022741317019715
1.5172643535332364,26.900000000000002,3.58279441923968,3.543181064130648,3.582547799169728,3.5627708417761657,3.6239722362266877,3.6113488505286675,3.594866473477975,3.5960626478838655,3.5166303953677827,3.59785087717729,3.5987130066579867
1.5155680765154036,27.0,3.5807911060460897,3.5439319574417634,3.5751357240069526,3.5560805232534114,3.624603684581199,3.6124254045465136,3.597198209277405,3.5943827806186275,3.509759689683178,3.5986223311407564,3.595770755911087
1.5143476295255556,27.1,3.5793490573702207,3.5479349313793715,3.5687359139909747,3.548727192862669,3.624858014942912,3.6132416969973167,3.5993797504908223,3.593764351608511,3.5037381508538052,3.599451730225779,3.593658840350042
1.5136713712101035,27.200000000000003,3.578549757786219,3.5549547874693537,3.563864559585466,3.541015002909843,3.62458443849829,3.613733307698691,3.6014009222229206,3.5942179761467625,3.498821070767135,3.6003800207150896,3.59252549184863
1.5135675350254465,27.3,3.57842701340019,3.5643254843460115,3.5608879963176725,3.533380575287209,3.623722737987588,3.6138635734987576,3.60329663079359,3.595652935310238,3.4952582870117097,3.6014643987987363,3.5924175146503896
1.5140188896339557,27.400000000000002,3.5789605274632557,3.575079929471383,3.55998620922133,3.526314994610222,3.6222831848180124,3.613635478544562,3.6050991948438984,3.597870934882973,3.4932508583635946,3.602770336492437,3.59331415338414
1.5149583794095953,27.5,3.580070776282858,3.5860354644289,3.5611366480536737,3.5202839419695366,3.6203617588585177,3.6130965775928985,3.60680038670506,3.600597480832345,3.4929190682116906,3.604360678929094,3.5951157572468557
1.5162722309726764,27.6,3.58162285265382,3.5959922817703607,3.5641696985600335,3.5156477228882883,3.6181137126770966,3.61228843113896,3.6083406006843113,3.603523339415175,3.4942633921695143,3.6062634302389247,3.5976259169955362
1.5178045847549344,27.700000000000003,3.5834322003693773,3.6039275347137725,3.5687938577909906,3.5125915590400743,3.6156750441959393,3.6112604683409124,3.609575325514708,3.606337924823503,3.497118365481142,3.608441034978579,3.600600888814153
1.5193714078317153,27.8,3.585281304030846,3.609112040166348,3.5746100293197403,3.5110912913102217,3.6131366409630448,3.6100655810729556,3.6103190859761405,3.6087781675938793,3.5011593978058944,3.6107841764060247,3.603756629694214
1.5207859641144916,27.900000000000002,3.586949889568418,3.6112143453027867,3.581211332030815,3.510933468786379,3.6105134856693546,3.608731207984203,3.6104137371375025,3.610663616028557,3.5059256862853223,3.6131025368506573,3.6067894796086075
1.5218785928166836,28.0,3.5882382038995915,3.6102963792204146,3.588184172466424,3.511766871990189,3.6077383317283984,3.60728534742617,3.609763181901655,3.611903592269424,3.5108788567770395,3.6151439292966745,3.6094213759195206
1.5225110199199052,28.1,3.5889836849770362,3.606735891976643,3.5951111033238132,3.5131705721072555,3.6046791406044,3.605744303858284,3.6083715116113915,3.6124997083093717,3.515475472585094,3.616613386441657,3.6114357589524495
1.5225930014178632,28.200000000000003,3.5890803103196776,3.6011229817414794,3.601615502347965,3.5147410084566806,3.601197252427152,3.6041226341454937,3.60635005063774,3.612525101225866,3.519240625739043,3.617219022161645,3.6126689243137093
1.5220873626108868,28.3,3.5884843109366242,3.594118517639697,3.6073546603897846,3.516159297001777,3.5971889397824377,3.602451011699838,3.6039095656802935,3.612072544365684,3.521810974291203,3.6167453672134218,3.61303223130211
1.5210067116367505,28.400000000000002,3.587210209425332,3.5863310008248956,3.612009882083214,3.5172244049656918,3.592635498319407,3.600774644364048,3.6013292038852676,3.6112401533943164,3.522990862540395,3.6150747452613916,3.6124916986147
1.519409060977008,28.5,3.5853257290742535,3.5782606734140323,3.6152925126718958,3.517861230617895,3.587662255713835,3.599171216622891,3.5988847826318406,3.6100860866092823,3.5227618603925195,3.6122396264407928,3.611037045627551
1.5173892045031232,28.6,3.5829418247183087,3.5702947616544067,3.6169494678397416,3.518105851700183,3.582500968024544,3.5977374468432224,3.5968096991540612,3.608639938889666,3.521273163503157,3.6083993361999656,3.6087076133741327
1.5150743887351616,28.700000000000003,3.580207847258298,3.562749282900666,3.6167835323634665,3.518071179727157,3.5774615246190367,3.596574610324307,3.5952845173936905,3.6069330110790467,3.518819793132947,3.6038214714863095,3.605579549556352
1.5126026643458002,28.8,3.577286241792433,3.5558969141395784,3.6146757265247618,3.517885711236103,3.5728738628914813,3.595774632371342,3.594395910831065,3.604989981354162,3.515785498349728,3.598837275391599,3.60174690483451
1.5100998099916738,28.900000000000002,3.5743254069808446,3.549995677995424,3.610620674935887,3.517628035079202,3.5690002507293572,3.59535330278494,3.5941160592488015,3.6028501935503634,3.512579625584535,3.5937722255259925,3.5973380243739363
1.5076722018905544,29.0,3.5714512421962867,3.545294161978454,3.60476915200071,3.5173016027805617,3.5659710166974556,3.595248048487006,3.59433787261065,3.600576057941577,3.5095709669996173,3.5889133919134903,3.592530150553341
1.5053967987134573,29.1,3.568755178699509,3.5420182631871864,3.597400412351032,3.516827742243335,3.5637842179186356,3.5953205579948073,3.594902430531772,3.5982410317016598,3.507035068051709,3.584464640579594,3.5875574224353497
