Arbitrary start time (ms),Average dx/dt (m/s),S13 dx/dt (m/s),S15 dx/dt (m/s),S16 dx/dt (m/s),S17 dx/dt (m/s),S18 dx/dt (m/s),S19 dx/dt (m/s),S20 dx/dt (m/s),S21 dx/dt (m/s),S22 dx/dt (m/s),S23 dx/dt (m/s),Simulated time 1 (ms), Simulated speed 1 (m/s), Simulated current 1 (A),Simulated time 2 (ms), Simulated speed 2 (m/s), Simulated current 2 (A),Simulated time 3 (ms), Simulated speed 3 (m/s), Simulated current 3 (A),Simulated time 4 (ms), Simulated speed 4 (m/s), Simulated current 4 (A),Simulated time 5 (ms), Simulated speed 5 (m/s), Simulated current 5 (A),Unnamed: 15
89.4,9.622213941633508,9.67665599837219,9.196559578609136,9.509852387607278,9.707206532211789,9.64452705771891,9.764353217475668,9.601991483781383,9.440833806447033,9.943576985401565,9.73658236871011,,,,,,,,,,,,,,,,
89.5,9.623536145277864,9.705975007366096,9.203280043576733,9.531529180864224,9.712667292035784,9.634806644569162,9.756456386463348,9.63158034456442,9.382690036164824,9.929884685305408,9.746491831868633,,,,,,,,,,,,,,,,
89.60000000000002,9.625693128259929,9.73534287008676,9.218449668583752,9.558173905438672,9.709331074826943,9.620063411361182,9.753374002169373,9.65084790081043,9.345942845673816,9.916395706304638,9.749009897343726,,,,,,,,,,,,,,,,
89.7,9.628606631198831,9.763617325263999,9.241209256933043,9.58621579615236,9.698514908364974,9.60301081211541,9.754837881885338,9.658802702269476,9.330387245661203,9.904427465940842,9.74504291740168,,,,,,,,,,,,,,,,
89.80000000000003,9.632382945626588,9.789761000720322,9.270638991472024,9.612299704005869,9.682435916909505,9.586568364565986,9.760049775334993,9.655916984848156,9.33462132957448,9.895120890866878,9.736416497967689,,,,,,,,,,,,,,,,
89.9,9.637264171508392,9.812968915331627,9.305786079532801,9.63359715621699,9.663791251291663,9.573495507431044,9.767811373438004,9.643993957473931,9.356255332990775,9.889308084820954,9.725634056556137,,,,,,,,,,,,,,,,
90.0,9.6435770326681,9.832765922625075,9.345585849517873,9.648130028958443,9.645356111863643,9.566086429502066,9.776757377819733,9.625918475318123,9.392135317812194,9.88750512430798,9.715529688955874,,,,,,,,,,,,,,,,
90.1,9.651635628221989,9.84897567932265,9.388867960602637,9.654988775129656,9.629600116421964,9.565954094476307,9.785574045507074,9.605217934351977,9.438512869846516,9.889799944787775,9.708864861773288,,,,,,,,,,,,,,,,
90.2,9.661636250178944,9.861639370989367,9.43432263414654,9.654332567151103,9.618303707483513,9.573864274701986,9.793156458826427,9.58561282503582,9.491393414225136,9.8958182050292,9.707919044200333,,,,,,,,,,,,,,,,
90.3,9.67361599178111,9.870953453956734,9.480538872473453,9.647304155227156,9.612406721547595,9.589752976532973,9.798832425529646,9.570522560140668,9.54678314571828,9.904887407566463,9.714178199118141,,,,,,,,,,,,,,,,
90.4,9.687398610829703,9.87714795930259,9.526096144368775,9.635806940227306,9.611920506821727,9.612837449331703,9.802419711768607,9.562630275379158,9.600908368555773,9.916074177604912,9.728144574936485,,,,,,,,,,,,,,,,
90.5,9.702585843552509,9.880412331270726,9.569612180618597,9.622203320792757,9.616020997181415,9.641762268139539,9.804174335202816,9.563560619301663,9.650499364981702,9.928294735449017,9.749318282586836,,,,,,,,,,,,,,,,
90.6,9.718633067124232,9.880898709290733,9.609894255398707,9.608997521639349,9.623289314431254,9.67489066563332,9.804773189341432,9.573703463712976,9.69295992061299,9.940565522466144,9.776358108715396,,,,,,,,,,,,,,,,
90.7,9.734918692792048,9.878766253828672,9.646057692991755,9.598542870160957,9.632003890974241,9.710596292309084,9.80514552513035,9.592195494232822,9.726474378666772,9.952060119275924,9.807344410349893,,,,,,,,,,,,,,,,
90.8,9.750848669728637,9.874319193396987,9.677626039636706,9.592787864581345,9.640471666753578,9.747444841256517,9.806287241162645,9.61709668102274,9.750074658419773,9.96220775997031,9.840170751085768,,,,,,,,,,,,,,,,
90.9,9.765964977038422,9.868093889847248,9.704611828352878,9.59315998387786,9.647334668759276,9.784392377414553,9.8091120730748,9.645703105085351,9.763601445472226,9.970752019179939,9.87288837932008,,,,,,,,,,,,,,,,
91.0,9.779999733786235,9.860902306232708,9.727493846542153,9.600479345450944,9.651802220267523,9.82079603193776,9.814280933431492,9.674967180836383,9.767631433085949,9.977675251216453,9.903968788860977,,,,,,,,,,,,,,,,
91.1,9.792902405700929,9.853794859470499,9.747212032865997,9.6149647295213,9.653728013353351,9.856295327255967,9.822119693759337,9.701970233442626,9.763327064906731,9.983167022593554,9.932445079839923,,,,,,,,,,,,,,,,
91.2,9.804838276511196,9.847981054995929,9.765049218692152,9.63634388594068,9.653604108822273,9.890744117936519,9.832612312402974,9.724304056056221,9.75226251021575,9.987536468688631,9.957945031360786,,,,,,,,,,,,,,,,
91.3,9.816108344205217,9.844642736777448,9.782457339676624,9.663934843794307,9.652462619209963,9.923963439504886,9.84540850030291,9.740369937579207,9.736266122222267,9.99102483724158,9.980553065742972,,,,,,,,,,,,,,,,
91.4,9.827085057985714,9.844732910158744,9.80086321313187,9.696789721556984,9.651636364568652,9.955554247272149,9.859916994038775,9.749588995747164,9.717291380369849,9.993842171971892,10.000634581041046,,,,,,,,,,,,,,,,
91.5,9.838126211956533,9.848841864303727,9.821425013923523,9.733788059328324,9.652526659548851,9.984908252781926,9.875422991757313,9.75234700948136,9.69729087056174,9.996097362843557,10.018614035035009,,,,,,,,,,,,,,,,
91.6,9.849497621944908,9.857136539109632,9.844859401433528,9.773744483807505,9.656372275657796,10.01118440498956,9.89116015035118,9.749812922236963,9.678123144568588,9.997769423424963,10.034813473869333,,,,,,,,,,,,,,,,
91.7,9.86134432143685,9.869355763248606,9.871250977166019,9.81550007600254,9.66404523224434,10.033456121485354,9.906421521349008,9.743720863422713,9.661496520205402,9.998835492642682,10.049360646601807,,,,,,,,,,,,,,,,
91.8,9.873667908417268,9.884893439006534,9.900007862941631,9.85791453850249,9.675949000213684,10.050940901642415,9.920622648969415,9.736015009843873,9.648911661474454,9.999281093598636,10.062142927979536,,,,,,,,,,,,,,,,
91.9,9.886347801601232,9.90292543427863,9.929938099427432,9.899896181186655,9.691983075700328,10.063137110024481,9.933312649253836,9.728560615227627,9.641673831965745,9.999151671020027,10.072899347927562,,,,,,,,,,,,,,,,
92.0,9.899190605442357,9.922541576159134,9.959413149093844,9.940429514911985,9.711586181489126,10.06999557163131,9.944178078196119,9.722928946096095,9.640816028224128,9.998653776174462,10.081363232447387,,,,,,,,,,,,,,,,
